,m
1031,1.0002
1032,1.0004
1033,1.0009
1034,0.8287399999999999
1035,0.8311299999999999
1036,0.88274
1037,0.79992
1038,0.8481299999999999
1039,0.7563
1040,0.8544799999999999
1041,0.9999399999999999
1042,0.79515
1043,0.78884
1044,1.0007
1045,0.9993200000000001
1046,0.8306899999999999
1047,1.0014
1048,0.9995700000000001
1049,0.9982700000000001
1050,1.0006
1051,1.0021
1052,0.9996
1053,0.99966
1054,0.89138
1055,0.84614
1056,0.7902600000000001
1057,0.92789
1058,1.0003
1059,1.001
1060,0.9276
1061,0.82234
1062,0.9995799999999999
1063,0.7528199999999999
1064,0.9989299999999999
1065,1.0009
1066,0.7984600000000001
1067,1.0001
1068,0.83657
1069,0.9217700000000001
1070,1.0006
1071,0.88345
1072,1.0031
1073,0.91056
1074,1.0001
1075,0.99874
1076,1.0007
1077,0.99982
1078,0.93463
1079,0.99934
1080,0.9996200000000001
1081,1.0003
1082,0.9258299999999999
1083,0.99926
1084,0.8861700000000001
1085,1.0002
1086,0.99845
1087,0.8103
1088,1.0007
1089,0.80609
1090,0.78496
1091,0.8964200000000001
1092,0.80665
1093,1.0011
1094,0.9990399999999999
1095,0.81726
1096,0.77188
1097,0.93681
1098,0.99925
1099,0.9548
1100,0.89164
1101,0.85503
1102,1.0003
1103,0.8961600000000001
1104,0.9989399999999999
1105,1.0014
1106,1.0008
1107,0.86679
1108,0.99954
1109,0.89895
1110,1.0007
1111,0.88359
1112,0.77873
1113,0.78742
1114,0.9999
1115,0.9322600000000001
1116,0.8744700000000001
1117,0.99918
1118,1.0006
1119,0.8081699999999999
1120,0.8481700000000001
1121,1.0008
1122,0.8085899999999999
1123,1.0011
1124,0.9996
1125,0.8236100000000001
1126,0.83105
1127,0.83694
1128,0.9997299999999999
1129,0.85
1130,0.8169
1131,1.0013
1132,0.9983299999999999
1133,0.76263
1134,0.77072
1135,0.8794
1136,1.0
1137,0.85398
1138,0.79864
1139,0.67095
1140,0.82875
1141,1.0
1142,1.0007
1143,0.99887
1144,0.8397600000000001
1145,0.99979
1146,0.9994
1147,0.93745
1148,0.8136399999999999
1149,1.0005
1150,0.78413
1151,0.95737
1152,0.9993
1153,1.0003
1154,0.8043899999999999
1155,1.0004
1156,0.99926
1157,0.85611
1158,0.85206
1159,0.81179
1160,0.80508
1161,0.8696799999999999
1162,0.92609
1163,1.0009
1164,1.0008
1165,0.81534
1166,1.0012
1167,0.7936300000000001
1168,0.86554
1169,1.0015
1170,1.0003
1171,0.85846
1172,1.0013
1173,1.0002
1174,1.0001
1175,1.0022
1176,0.8793200000000001
1177,0.73897
1178,1.0002
1179,0.82326
1180,0.9992
1181,0.8237700000000001
1182,1.0009
1183,0.82184
1184,0.74756
1185,0.82185
1186,0.99945
1187,0.78709
1188,1.0004
1189,0.99975
1190,0.99849
1191,0.99992
1192,0.8043899999999999
1193,0.82262
1194,1.0013
1195,0.99946
1196,0.84854
1197,0.80671
1198,0.99892
1199,0.8311
1200,0.99859
1201,0.8739600000000001
1202,0.88923
1203,0.8735299999999999
1204,0.8245100000000001
1205,0.99911
1206,0.78901
1207,1.0003
1208,0.8265600000000001
1209,0.85875
1210,0.85441
1211,1.0025
1212,0.9988799999999999
1213,1.0008
1214,0.8301200000000001
1215,1.0003
1216,1.001
1217,0.8922
1218,1.0
1219,0.99935
1220,0.82324
1221,0.9999899999999999
1222,1.0007
1223,0.81602
1224,0.85505
1225,0.81083
1226,0.9131600000000001
1227,0.99982
1228,0.8821700000000001
1229,0.9987799999999999
1230,0.90622
1231,1.0011
1232,0.9541700000000001
1233,0.81355
1234,1.0001
1235,0.99687
1236,0.83557
1237,0.90264
1238,0.8968299999999999
1239,0.8658399999999999
1240,1.001
1241,0.99923
1242,0.7752600000000001
1243,0.9640000000000001
1244,1.0028
1245,0.9991399999999999
1246,0.8715299999999999
1247,0.79703
1248,1.0019
1249,0.8426799999999999
1250,0.9983700000000001
1251,0.8614700000000001
1252,1.0013
1253,0.83834
1254,0.83135
1255,1.0003
1256,0.8728899999999999
1257,0.86325
1258,0.9992200000000001
1259,0.8256399999999999
1260,1.0004
1261,1.0011
1262,0.87198
1263,1.0002
1264,0.86406
1265,0.81984
1266,0.8766299999999999
1267,1.0007
1268,0.83345
1269,1.0002
1270,1.0014
1271,0.8347100000000001
1272,1.0007
1273,1.0017
1274,1.002
1275,1.0015
1276,0.89026
1277,0.8462200000000001
1278,0.8846700000000001
1279,1.0001
1280,1.0002
1281,0.7723
1282,0.9988299999999999
1283,0.9424299999999999
1284,0.7996300000000001
1285,0.8448399999999999
1286,0.8045100000000001
1287,1.0017
1288,0.94858
1289,0.81755
1290,0.7562
1291,0.9998799999999999
1292,1.0002
1293,0.8921899999999999
1294,0.99808
1295,0.76008
1296,0.99913
1297,0.81405
1298,0.81929
1299,0.84344
1300,0.83593
1301,0.8170000000000001
1302,0.86644
1303,0.77159
1304,0.81139
1305,0.7774399999999999
1306,0.79294
1307,1.002
1308,1.0007
1309,0.90409
1310,0.87354
1311,0.99902
1312,0.8491799999999999
1313,1.0007
1314,0.8579100000000001
1315,0.87474
1316,0.82506
1317,1.0016
1318,1.0005
1319,0.89375
1320,0.99998
1321,1.0009
1322,1.0001
1323,1.0013
1324,0.835
1325,1.0009
1326,0.99964
1327,1.0003
1328,0.9993
1329,0.99984
1330,1.0003
1331,0.99903
1332,0.8574200000000001
1333,1.0012
1334,0.8984
1335,1.0012
1336,1.0033
1337,0.87895
1338,1.0007
1339,0.9981700000000001
1340,0.9985700000000001
1341,0.99971
1342,0.9999600000000001
1343,1.0
1344,1.0002
1345,0.83095
1346,0.88069
1347,0.99834
1348,0.8743200000000001
1349,0.8370200000000001
1350,1.0011
1351,1.0007
1352,0.87211
1353,1.0001
1354,0.83076
1355,0.99965
1356,1.0015
1357,0.99971
1358,0.82009
1359,0.99879
1360,0.81388
1361,1.0001
1362,0.9994
1363,1.0002
1364,0.78277
1365,0.9998
1366,0.8351700000000001
1367,0.8527899999999999
1368,0.8689100000000001
1369,0.88938
1370,0.99818
1371,0.9990600000000001
1372,0.86669
1373,1.001
1374,0.99936
1375,1.0001
1376,0.9971899999999999
1377,0.99816
1378,0.7135100000000001
1379,1.0003
1380,0.84414
1381,0.69543
1382,0.78092
1383,1.0005
1384,0.9989600000000001
1385,0.78385
1386,1.0
1387,1.0006
1388,1.0022
1389,0.8823700000000001
1390,0.82996
1391,1.0016
1392,0.8373
1393,0.90453
1394,0.8806200000000001
1395,0.99955
1396,0.8067300000000001
1397,0.8864
1398,0.88164
1399,1.0012
1400,1.0005
1401,0.9997
1402,0.9997299999999999
1403,0.99971
1404,0.99855
1405,0.84575
1406,1.0023
1407,1.0
1408,0.9326200000000001
1409,1.0009
1410,1.0004
1411,1.0006
1412,0.8001
1413,1.0014
1414,0.99946
1415,0.99954
1416,1.0004
1417,1.0008
1418,0.8667100000000001
1419,1.0003
1420,0.94309
1421,0.9995200000000001
1422,0.92494
1423,0.8381299999999999
1424,0.9993200000000001
1425,1.0007
1426,1.0001
1427,0.85656
1428,0.99966
1429,0.83121
1430,0.99866
1431,0.80478
1432,0.9685600000000001
1433,1.0003
1434,0.99969
1435,0.81221
1436,0.99959
1437,0.9989600000000001
1438,0.86466
1439,0.80433
1440,0.8494700000000001
1441,1.0009
1442,0.9999899999999999
1443,0.96485
1444,0.99823
1445,0.9983700000000001
1446,0.9423299999999999
1447,1.002
1448,1.001
1449,1.0
1450,0.8811700000000001
1451,1.0011
1452,1.0001
1453,0.83125
1454,0.9998299999999999
1455,0.74949
1456,0.8345100000000001
1457,1.0007
1458,1.0005
1459,0.8412799999999999
1460,0.83942
1461,0.75649
1462,0.99989
1463,0.7782600000000001
1464,1.0004
1465,0.8949799999999999
1466,0.74644
1467,0.8134600000000001
1468,0.99939
1469,0.7841
1470,0.77378
1471,1.0005
1472,0.8910600000000001
1473,1.0006
1474,0.9995
1475,0.8604200000000001
1476,0.78508
1477,0.77627
1478,1.0007
1479,0.9202899999999999
1480,1.0014
1481,0.8185
1482,0.9990899999999999
1483,0.99928
1484,0.8844299999999999
1485,1.0011
1486,0.76244
1487,0.82305
1488,0.9088200000000001
1489,0.9251299999999999
1490,0.83454
1491,1.0015
1492,0.99954
1493,0.9202600000000001
1494,0.99936
1495,0.8674700000000001
1496,0.95496
1497,0.8337600000000001
1498,0.99982
1499,0.99976
1500,0.94025
1501,0.9990899999999999
1502,1.0003
1503,0.90436
1504,0.90412
1505,0.83767
1506,0.78288
1507,0.84257
1508,1.0017
1509,0.99928
1510,1.0033
1511,0.9984200000000001
1512,0.99845
1513,1.0002
1514,0.8270000000000001
1515,0.8186100000000001
1516,1.0004
1517,0.80538
1518,0.83325
1519,1.0009
1520,1.0009
1521,1.0001
1522,0.78332
1523,0.99825
1524,0.9992
1525,0.9569700000000001
1526,1.0004
1527,0.8815700000000001
1528,1.0002
1529,0.9999
1530,0.78004
1531,0.9763200000000001
1532,0.8832399999999999
1533,0.99872
1534,1.0012
1535,1.0014
1536,1.0002
1537,0.85188
1538,0.9990399999999999
1539,0.91332
1540,1.0005
1541,0.99835
1542,1.0013
1543,0.8250700000000001
1544,1.0
1545,0.99975
1546,0.8459
1547,0.9992
1548,0.77951
1549,0.9108200000000001
1550,0.80792
1551,0.99908
1552,0.81981
1553,0.9990399999999999
1554,0.82901
1555,1.0019
1556,0.9707
1557,0.85856
1558,0.8698899999999999
1559,0.9120799999999999
1560,0.8894799999999999
1561,0.76952
1562,0.8748
1563,0.81245
1564,1.0013
1565,0.77299
1566,1.0007
1567,1.0017
1568,0.8347600000000001
1569,0.99997
1570,0.8390799999999999
1571,1.0025
1572,0.9995299999999999
1573,1.0004
1574,0.9988600000000001
1575,0.9036799999999999
1576,0.8111
1577,0.8116300000000001
1578,0.9976799999999999
1579,0.99971
1580,1.0009
1581,0.99913
1582,0.99887
1583,0.8831399999999999
1584,0.7641899999999999
1585,1.0
1586,0.99966
1587,0.88287
1588,1.0012
1589,1.0004
1590,1.0013
1591,0.9990600000000001
1592,0.9987299999999999
1593,0.8009999999999999
1594,0.8511700000000001
1595,0.99969
1596,0.9523299999999999
1597,1.0005
1598,1.0007
1599,0.784
1600,0.99987
1601,0.9601200000000001
1602,0.99989
1603,1.0002
1604,1.001
1605,0.80975
1606,0.99945
1607,0.84225
1608,0.78615
1609,1.0002
1610,1.0021
1611,0.8800399999999999
1612,0.82915
1613,0.9987299999999999
1614,0.8786299999999999
1615,0.94019
1616,0.83898
1617,0.99925
1618,1.0004
1619,0.76094
1620,1.0004
1621,0.9991
1622,1.0008
1623,0.9988600000000001
1624,0.9427700000000001
1625,0.99951
1626,0.9999899999999999
1627,0.8533
1628,0.84096
1629,0.90328
1630,0.83899
1631,0.9986
1632,0.7884800000000001
1633,0.8146899999999999
1634,0.9979399999999999
1635,0.81588
1636,0.99982
1637,0.8413799999999999
1638,0.9996299999999999
1639,0.96241
1640,0.79355
1641,0.8399
1642,0.84077
1643,0.80683
1644,0.89041
1645,0.77379
1646,1.0003
1647,0.99882
1648,0.99872
1649,1.0011
1650,0.8522700000000001
1651,1.0001
1652,0.99929
1653,0.8859799999999999
1654,0.8774
1655,0.99941
1656,0.9977600000000001
1657,0.88756
1658,0.99949
1659,1.0005
